Gabriel Sylvestre (D)
Julien Tessier (LW)
Lucas Thierus (RW)
Dylan Thiessen (C/LW)
Calvin Thürkauf (C/LW)
Matt Timms (D)
Troy Timpano (G)
Artturi Toivola (C)
Denis Tolpegin (D)
Derek Topatigh (D)
Riku Törnqvist (G)
Edgars Treijs (LW)
Dominik Trska (D)
Eetu Tuulola (RW)
Carsen Twarynski (LW/D)
Ondrej Vala (D)
Dmitri Varlamov (F)
Veini Vehviläinen (G)
Mark Verba (F)
Hayden Verbeek (C)
Daniil Veryayev (F)
Nolan Volcan (LW)
Dominik Volejnicek (RW)
Tim Wahlgren (C)
Garrett Wait (LW)
Zach Walker (F)
Tyler Wall (G)
Linus Weissbach (LW/RW)
Nicolas Werbik (C)
Ty Westgard (C/RW)
Gustaf Westlund (C)
Jaeger White (C)
Jesper Wiberg (LW)
Manuel Wiederer (C/RW)
Joseph Woll (G)
Alexander Yakovenko (D)
Kyle Yewchuk (D)
Justin Young (C)
Dmitri Zaitsev (D)
Yegor Zaitsev (D)
Sergei Zhilov (RW/C)
Nikita Zhuldikov (D)
Lukas Ziak (F)
Vaclav Zidek (C/RW)
Kristaps Zile (D)
Max Zimmer (F)
Eriks Zohovs (C)
